Exercise ID,EXERCISE_NAME (Standardized English),PRIMARY_TARGET_MUSCLES (Exact Anatomy),SECONDARY_TARGET_MUSCLES (Exact Anatomy),EQUIPMENT,STARTING_POSITION (View Angle & Key Body Cue)
RYNG001,"JUMPING JACKS","Deltoids (all heads), gastrocnemius, soleus","Hip adductors, hip abductors, quadriceps, core stabilizers",Bodyweight,"Starting position, front view, feet together, arms at sides"
RYNG002,"ARM CIRCLES","Deltoids (anterior, medial, posterior), rotator cuff (supraspinatus, infraspinatus, teres minor, subscapularis)","Upper trapezius, rhomboids",Bodyweight,"Starting position, front view, arms extended laterally at shoulder height"
RYNG003,"HIGH KNEES","Hip flexors (iliopsoas, rectus femoris), quadriceps","Gastrocnemius, soleus, rectus abdominis, gluteus maximus",Bodyweight,"Starting position, side view, standing upright, one knee raised to hip height"
RYNG004,"LEG SWINGS","Hip flexors (iliopsoas), gluteus maximus, hip adductors","Hamstrings, core stabilizers (transversus abdominis)",Bodyweight,"Starting position, side view, standing on one leg, other leg extended forward"
RYNG005,"SHOULDER CIRCLES","Deltoids (all heads), rotator cuff group","Upper trapezius, levator scapulae, rhomboids",Bodyweight,"Starting position, front view, arms at sides, shoulders in neutral"
RYNG006,"ARM SWINGS (Dynamic)","Deltoids (anterior, posterior), pectoralis major (clavicular head)","Rhomboids, rotator cuff, biceps brachii",Bodyweight,"Starting position, side view, arms swinging horizontally at chest height"
RYNG007,"CAT-COW STRETCH","Erector spinae, rectus abdominis","Multifidus, transversus abdominis, serratus anterior",Bodyweight,"Starting position, side view, hands-and-knees quadruped, spine neutral"
RYNG008,"JUMP ROPE","Gastrocnemius, soleus, forearm flexors (wrist rotation)","Deltoids (medial), quadriceps, rectus abdominis",Jump rope,"Starting position, side view, standing upright, rope behind heels, elbows at sides"
RYNG009,"TREADMILL / ROWING MACHINE (Warm-Up)","Quadriceps, hamstrings, gluteus maximus (full-body cardio)","Latissimus dorsi, biceps brachii, erector spinae (rowing), gastrocnemius (treadmill)",Machine,"Starting position, side view, seated on rower with arms extended gripping handle"
RYNG010,"BANDED SHOULDER CIRCLES","Deltoids (all heads), rotator cuff (infraspinatus, teres minor)","Upper trapezius, rhomboids, pectoralis minor",Resistance band,"Starting position, front view, arms extended forward gripping band wide"
RYNG011,"CAT-COW + THORACIC ROTATION","Erector spinae, internal/external obliques, thoracic spine mobilizers","Rectus abdominis, multifidus, serratus anterior",Bodyweight,"Starting position, side view, quadruped position, one hand behind head"
RYNG012,"INCHWORMS + PUSH-UP","Pectoralis major, anterior deltoid, hamstrings (eccentric stretch)","Triceps brachii, rectus abdominis, erector spinae",Bodyweight,"Starting position, side view, standing upright with hands reaching toward floor"
RYNG013,"GOBLET SQUAT HOLD","Hip adductors, hip flexors (iliopsoas), gluteus medius","Quadriceps, erector spinae, core stabilizers",Dumbbell,"Starting position, front view, deep squat with dumbbell held at chest, elbows inside knees"
RYNG014,"WRIST STRETCHES","Wrist flexors (flexor carpi radialis/ulnaris), wrist extensors (extensor carpi radialis/ulnaris)","Forearm pronators/supinators",Bodyweight,"Starting position, front view, one arm extended, other hand pulling fingers back"
RYNG015,"BAND DISLOCATES (Shoulder Pass-Throughs)","Deltoids (posterior), rotator cuff (infraspinatus, teres minor), lower trapezius","Pectoralis major (stretch), rhomboids, serratus anterior",Resistance band,"Starting position, front view, arms extended overhead gripping band wide"
RYNG016,"DEAD HANG (Pull-Up Bar)","Forearm flexors (grip), latissimus dorsi (passive stretch)","Lower trapezius, teres major, rhomboids (active hang)",Pull-up bar,"Starting position, front view, hanging from bar with arms fully extended, feet off ground"
RYNG017,"THORACIC FOAM ROLL","Thoracic erector spinae, rhomboids (myofascial release)","Upper trapezius, latissimus dorsi (adjacent tissue)",Foam roller,"Starting position, side view, supine on foam roller at mid-back, knees bent, hands behind head"
RYNG018,"BANDED CRAB WALKS","Gluteus medius, gluteus minimus, tensor fasciae latae","Gluteus maximus, hip external rotators (piriformis)",Resistance band (mini-band),"Starting position, front view, quarter-squat with band above knees, feet hip-width"
RYNG019,"GOBLET SQUAT + PAUSE","Quadriceps (rectus femoris, vastus lateralis/medialis), gluteus maximus","Hip adductors, erector spinae, core stabilizers",Dumbbell,"Starting position, front view, standing with dumbbell at chest, feet shoulder-width"
RYNG020,"ANKLE MOBILIZATION (Knee-Over-Toe)","Gastrocnemius, soleus (eccentric stretch), tibialis anterior","Ankle joint capsule, Achilles tendon",Bodyweight,"Starting position, side view, lunge position facing wall, front knee driving forward over toes"
RYNG021,"DEAD BUG (Warm-Up)","Rectus abdominis, transversus abdominis","Internal/external obliques, hip flexors (iliopsoas)",Bodyweight,"Starting position, side view, supine, arms extended toward ceiling, knees at 90°"
RYNG022,"STANDARD PUSH-UP","Pectoralis major (sternal + clavicular), anterior deltoid, triceps brachii","Serratus anterior, rectus abdominis (stabilizer), core",Bodyweight,"Starting position, side view, high plank, arms extended, body straight from head to heels"
RYNG023,"CLOSE-GRIP PUSH-UP","Triceps brachii (long, lateral, medial heads), pectoralis major (sternal)","Anterior deltoid, serratus anterior, core",Bodyweight,"Starting position, side view, high plank, hands close together under chest"
RYNG024,"PIKE PUSH-UP","Deltoids (anterior, medial), triceps brachii","Upper pectoralis major (clavicular), serratus anterior, upper trapezius",Bodyweight,"Starting position, side view, inverted V position, hips high, arms extended, head between arms"
RYNG025,"CHAIR DIPS","Triceps brachii (all heads), anterior deltoid","Pectoralis major (lower), rhomboids, core stabilizers","Bodyweight, chair/bench","Starting position, side view, hands on chair edge behind body, legs extended, arms straight"
RYNG026,"DECLINE PUSH-UP","Pectoralis major (clavicular head), anterior deltoid, triceps brachii","Serratus anterior, rectus abdominis, core",Bodyweight,"Starting position, side view, high plank with feet elevated on bench, body angled downward"
RYNG027,"DIAMOND PUSH-UP","Triceps brachii (all heads), pectoralis major (sternal, inner)","Anterior deltoid, serratus anterior, core",Bodyweight,"Starting position, top-down view of hands forming diamond shape, high plank position"
RYNG028,"DUMBBELL BENCH PRESS (Flat)","Pectoralis major (sternal + clavicular), anterior deltoid","Triceps brachii, serratus anterior, biceps (stabilizer)","Dumbbells, flat bench","Starting position, side view, supine on bench, dumbbells at chest height, elbows at 45°"
RYNG029,"DUMBBELL SHOULDER PRESS (Standing/Seated)","Deltoids (anterior, medial), triceps brachii","Upper trapezius, serratus anterior, core stabilizers",Dumbbells,"Starting position, front view, dumbbells at shoulder height, palms forward, elbows at 90°"
RYNG030,"BODYWEIGHT ROWS (Inverted Row)","Latissimus dorsi, rhomboids, middle trapezius","Biceps brachii, posterior deltoid, erector spinae","Bodyweight (table edge or bar)","Starting position, side view, supine under bar/edge, arms extended, body straight, heels on ground"
RYNG031,"REVERSE SNOW ANGELS","Rhomboids, middle/lower trapezius, posterior deltoid","Erector spinae, infraspinatus, teres minor",Bodyweight,"Starting position, side view, prone (face down), arms extended overhead on floor"
RYNG032,"SUPERMAN HOLD","Erector spinae (lumbar + thoracic), gluteus maximus","Hamstrings, posterior deltoid, multifidus",Bodyweight,"Starting position, side view, prone, arms and legs extended on floor"
RYNG033,"DOOR FRAME ROW","Latissimus dorsi, rhomboids, middle trapezius","Biceps brachii, posterior deltoid, forearm flexors (grip)",Bodyweight (door frame),"Starting position, side view, leaning back gripping door frame, arms extended, feet near frame base"
RYNG034,"STANDING DUMBBELL BICEP CURL","Biceps brachii (long + short head), brachialis","Brachioradialis, anterior deltoid (stabilizer)",Dumbbells,"Starting position, front view, arms at sides, palms forward (supinated), dumbbells in hands"
RYNG035,"HAMMER CURL","Brachioradialis, biceps brachii (long head), brachialis","Forearm extensors, anterior deltoid (stabilizer)",Dumbbells,"Starting position, front view, arms at sides, palms facing inward (neutral grip)"
RYNG036,"SINGLE-ARM DUMBBELL ROW","Latissimus dorsi, rhomboids, middle trapezius","Biceps brachii, posterior deltoid, teres major, erector spinae","Dumbbell, flat bench","Starting position, side view, one knee and hand on bench, other arm hanging with dumbbell, torso parallel to floor"
RYNG037,"BAND PULL-APARTS","Posterior deltoid, rhomboids, middle trapezius","Infraspinatus, teres minor, lower trapezius",Resistance band,"Starting position, front view, arms extended forward at shoulder height, gripping band shoulder-width"
RYNG038,"BODYWEIGHT SQUAT","Quadriceps (rectus femoris, vastus lateralis/medialis/intermedius), gluteus maximus","Hamstrings, hip adductors, erector spinae, core stabilizers",Bodyweight,"Starting position, side view, standing upright, feet shoulder-width, toes slightly out"
RYNG039,"ALTERNATING LUNGES","Quadriceps (rectus femoris, vastus lateralis/medialis), gluteus maximus","Hamstrings, hip adductors, gluteus medius (stabilizer), core",Bodyweight,"Starting position, side view, standing upright, feet together"
RYNG040,"GLUTE BRIDGE","Gluteus maximus, hamstrings (biceps femoris, semitendinosus)","Erector spinae (lumbar), core stabilizers (transversus abdominis)",Bodyweight,"Starting position, side view, supine, knees bent at 90°, feet flat on floor, arms at sides"
RYNG041,"WALL SIT","Quadriceps (vastus medialis, lateralis, intermedius, rectus femoris)","Gluteus maximus (isometric), hamstrings, core stabilizers",Bodyweight,"Starting position, side view, back flat against wall, thighs parallel to floor, knees at 90°"
RYNG042,"SUMO SQUAT","Hip adductors (adductor magnus/longus/brevis), quadriceps, gluteus maximus","Hamstrings, core stabilizers, gluteus medius",Bodyweight,"Starting position, front view, wide stance (1.5× shoulder-width), toes pointed 45° outward"
RYNG043,"STANDING CALF RAISE","Gastrocnemius (medial + lateral head), soleus","Tibialis posterior, peroneus longus/brevis",Bodyweight,"Starting position, side view, standing on edge of step, heels hanging below platform level"
RYNG044,"SINGLE-LEG DEADLIFT","Hamstrings (biceps femoris, semitendinosus, semimembranosus), gluteus maximus","Erector spinae (lumbar), gluteus medius (stabilizer), core","Bodyweight or dumbbell","Starting position, side view, standing on one leg, slight knee bend, other leg slightly behind"
RYNG045,"JUMP SQUAT","Quadriceps (all heads), gluteus maximus, gastrocnemius","Hamstrings, hip adductors, core stabilizers",Bodyweight,"Starting position, side view, quarter-squat position, arms back, ready to explode upward"
RYNG046,"DUMBBELL ROMANIAN DEADLIFT","Hamstrings (biceps femoris, semitendinosus, semimembranosus), gluteus maximus","Erector spinae (lumbar + thoracic), core stabilizers, forearm flexors (grip)",Dumbbells,"Starting position, side view, standing upright, dumbbells in front of thighs, slight knee bend"
RYNG047,"BULGARIAN SPLIT SQUAT","Quadriceps (vastus medialis, lateralis, rectus femoris), gluteus maximus","Hamstrings, hip adductors, gluteus medius (stabilizer), core","Bodyweight, bench","Starting position, side view, one foot on bench behind, front foot forward, torso upright"
RYNG048,"FOREARM PLANK","Rectus abdominis, transversus abdominis, internal/external obliques","Erector spinae, deltoids (isometric), quadriceps, gluteus maximus",Bodyweight,"Starting position, side view, prone, forearms on floor, body straight from head to heels"
RYNG049,"MOUNTAIN CLIMBERS","Rectus abdominis, hip flexors (iliopsoas), obliques","Deltoids (isometric), quadriceps, triceps brachii, serratus anterior",Bodyweight,"Starting position, side view, high plank, one knee driven toward chest"
RYNG050,"BICYCLE CRUNCHES","Rectus abdominis, internal/external obliques","Hip flexors (iliopsoas), quadriceps (rectus femoris)",Bodyweight,"Starting position, side view, supine, hands behind head, shoulders off floor, knees at 90°"
RYNG051,"RUSSIAN TWISTS","Internal/external obliques, rectus abdominis","Hip flexors (iliopsoas), erector spinae, transversus abdominis","Bodyweight or dumbbell","Starting position, front view, seated on floor, torso leaning back 45°, knees bent, feet off floor"
RYNG052,"LYING LEG RAISES","Rectus abdominis (lower portion), hip flexors (iliopsoas)","Internal/external obliques, transversus abdominis, quadriceps (rectus femoris)",Bodyweight,"Starting position, side view, supine, legs extended, hands under glutes or at sides"
RYNG053,"DEAD BUG","Rectus abdominis, transversus abdominis","Internal/external obliques, hip flexors (iliopsoas), erector spinae (stabilizer)",Bodyweight,"Starting position, side view, supine, arms extended toward ceiling, knees at 90° (tabletop)"
RYNG054,"SIDE PLANK","Internal/external obliques, transversus abdominis, quadratus lumborum","Gluteus medius, deltoid (isometric), erector spinae",Bodyweight,"Starting position, front view, lying on side, forearm on floor, body straight, hips stacked"
RYNG055,"HOLLOW BODY HOLD","Rectus abdominis, transversus abdominis","Hip flexors (iliopsoas), internal obliques, quadriceps (isometric)",Bodyweight,"Starting position, side view, supine, arms extended overhead, legs extended, lower back pressed to floor, shoulders and feet hovering"
RYNG056,"BURPEES","Pectoralis major (push-up), quadriceps (squat/jump), deltoids","Triceps brachii, hamstrings, gluteus maximus, rectus abdominis, hip flexors",Bodyweight,"Starting position, side view, standing upright, feet shoulder-width"
RYNG057,"BOX JUMPS","Quadriceps (all heads), gluteus maximus, gastrocnemius","Hamstrings, hip flexors (landing), core stabilizers",Plyometric box,"Starting position, side view, quarter-squat facing box, arms back, ready to swing and jump"
RYNG058,"SKATER JUMPS","Gluteus medius, quadriceps, gastrocnemius (lateral)","Hip adductors, gluteus maximus, hamstrings, core (anti-rotation)",Bodyweight,"Starting position, front view, standing on one leg, slight crouch, other leg behind and across"
RYNG059,"BEAR CRAWL","Deltoids (anterior), quadriceps, rectus abdominis, hip flexors","Serratus anterior, triceps brachii, hamstrings, core stabilizers",Bodyweight,"Starting position, side view, quadruped with knees hovering 2 inches above floor, hands under shoulders"
RYNG060,"PIGEON POSE","Hip external rotators (piriformis, gemelli), gluteus medius/maximus (stretch)","Hip flexors (iliopsoas, rear leg stretch), erector spinae",Bodyweight,"Starting position, side view, one leg bent in front (shin near-parallel to front), rear leg extended behind"
RYNG061,"STANDING HAMSTRING STRETCH (Forward Fold)","Hamstrings (biceps femoris, semitendinosus, semimembranosus), gastrocnemius","Erector spinae (lumbar), gluteus maximus",Bodyweight,"Starting position, side view, standing with straight legs, torso folded forward, hands reaching toward floor"
RYNG062,"HIP 90/90 STRETCH","Hip internal/external rotators (piriformis, obturator, gluteus medius)","Hip flexors (iliopsoas), hip adductors, tensor fasciae latae",Bodyweight,"Starting position, front view, seated on floor, front leg bent 90° externally rotated, rear leg bent 90° internally rotated"
RYNG063,"BAND SHOULDER DISLOCATES (Pass-Throughs)","Posterior deltoid, infraspinatus, teres minor, lower trapezius","Pectoralis major (stretch), rhomboids, serratus anterior",Resistance band,"Starting position, front view, arms extended overhead gripping band wide, about to rotate behind back"
RYNG064,"WORLD'S GREATEST STRETCH","Hip flexors (iliopsoas), thoracic spine rotators, hip adductors","Hamstrings, quadriceps, internal/external obliques, posterior deltoid",Bodyweight,"Starting position, side view, deep lunge, one hand on floor, other arm reaching toward ceiling in rotation"
RYNG065,"ANKLE MOBILIZATION (Wall Stretch)","Gastrocnemius, soleus (dorsiflexion stretch), tibialis anterior","Achilles tendon, ankle joint capsule",Bodyweight,"Starting position, side view, lunge facing wall, front knee driving forward over toes, heel on ground"
RYNG066,"DUMBBELL FLAT BENCH PRESS (Gym)","Pectoralis major (sternal + clavicular), anterior deltoid","Triceps brachii, serratus anterior, biceps brachii (stabilizer)","Dumbbells, flat bench","Starting position, side view, supine on bench, dumbbells at chest height, scapulae retracted"
RYNG067,"CABLE LATERAL RAISE (Single Arm)","Deltoid (medial/lateral head)","Upper trapezius, supraspinatus, anterior deltoid",Cable machine,"Starting position, front view, standing sideways to cable (low pulley), arm at side holding handle"
RYNG068,"PARALLEL BAR DIPS / MACHINE DIPS","Pectoralis major (lower/sternal), triceps brachii (all heads), anterior deltoid","Rhomboids (stabilizer), core stabilizers","Dip bars or assisted dip machine","Starting position, side view, arms extended supporting body, slight forward lean, legs crossed"
RYNG069,"CABLE TRICEP PUSHDOWN","Triceps brachii (lateral head emphasis, long + medial heads)","Anconeus, forearm extensors","Cable machine, rope/bar attachment","Starting position, side view, standing upright, elbows pinned at sides, forearms angled up gripping handle"
RYNG070,"PALLOF PRESS (Anti-Rotation)","Transversus abdominis, internal/external obliques, rectus abdominis","Erector spinae, gluteus medius (stabilizer), deltoids (isometric)",Cable machine,"Starting position, front view, standing sideways to cable, both hands at chest gripping handle"
RYNG071,"PULL-UP / LAT PULLDOWN","Latissimus dorsi, teres major, rhomboids","Biceps brachii, brachialis, lower trapezius, posterior deltoid","Pull-up bar or lat pulldown machine","Starting position, front view, arms fully extended overhead gripping bar, wide grip, full hang"
RYNG072,"SINGLE-ARM DUMBBELL ROW (Gym)","Latissimus dorsi, rhomboids, middle trapezius","Biceps brachii, posterior deltoid, teres major, erector spinae","Dumbbell, flat bench","Starting position, side view, one knee and hand on bench, other arm hanging with dumbbell, torso horizontal"
RYNG073,"CABLE FACE PULL (Rope)","Posterior deltoid, rhomboids, middle trapezius, infraspinatus, teres minor","Biceps brachii, lower trapezius, external rotators","Cable machine, rope attachment","Starting position, side view, standing facing cable (high pulley), arms extended forward gripping rope"
RYNG074,"DUMBBELL BICEP CURL (Alternating, Supination)","Biceps brachii (long + short head), brachialis","Brachioradialis, anterior deltoid (stabilizer), forearm supinators",Dumbbells,"Starting position, front view, arms at sides, palms facing thighs (neutral), ready to supinate"
RYNG075,"CABLE REVERSE FLY (Bent-Over)","Posterior deltoid, rhomboids, middle trapezius","Infraspinatus, teres minor, lower trapezius, erector spinae",Cable machine,"Starting position, side view, standing between cables (low pulleys), torso bent 45°, arms crossed holding handles"
RYNG076,"TRX BODY SAW","Rectus abdominis, transversus abdominis, internal/external obliques","Erector spinae, deltoids (isometric), serratus anterior, hip flexors",TRX straps,"Starting position, side view, forearm plank with feet in TRX loops, body straight"
RYNG077,"BARBELL BACK SQUAT","Quadriceps (all heads), gluteus maximus, hip adductors","Hamstrings, erector spinae (thoracic + lumbar), core stabilizers",Barbell (with rack),"Starting position, side view, standing upright, barbell on upper trapezius, feet shoulder-width, chest up"
RYNG078,"LYING LEG CURL (Machine)","Hamstrings (biceps femoris, semitendinosus, semimembranosus)","Gastrocnemius (short head assist), sartorius, popliteus",Leg curl machine,"Starting position, side view, prone on machine, ankle pad behind lower calves, legs extended"
RYNG079,"STANDING CALF RAISE (Machine/Step)","Gastrocnemius (medial + lateral head), soleus","Tibialis posterior, peroneus longus/brevis, plantaris","Calf raise machine or step","Starting position, side view, standing on edge of platform, heels dropped below level, shoulders under pads"
RYNG080,"KETTLEBELL SWING","Gluteus maximus, hamstrings (biceps femoris, semitendinosus)","Erector spinae (lumbar + thoracic), core stabilizers, deltoids (anterior, swing), forearm flexors (grip)",Kettlebell,"Starting position, side view, hip-hinged, knees slightly bent, kettlebell between legs, arms extended"
RYNG081,"DUMBBELL THRUSTER (Front Squat to Press)","Quadriceps (all heads), deltoids (anterior + medial), gluteus maximus","Triceps brachii, erector spinae, core stabilizers, hamstrings",Dumbbells,"Starting position, front view, dumbbells at shoulder height (front rack), feet shoulder-width, elbows up"
RYNG082,"BARBELL BENT-OVER ROW","Latissimus dorsi, rhomboids, middle trapezius","Biceps brachii, posterior deltoid, erector spinae (isometric), teres major",Barbell,"Starting position, side view, torso bent 45° forward, arms extended down gripping barbell, overhand grip"
RYNG083,"WALKING DUMBBELL LUNGES","Quadriceps (rectus femoris, vastus lateralis/medialis), gluteus maximus","Hamstrings, hip adductors, gluteus medius (stabilizer), core stabilizers",Dumbbells,"Starting position, side view, standing upright, dumbbells at sides, about to step forward"
RYNG084,"PUSH-UP TO RENEGADE ROW","Pectoralis major, latissimus dorsi, rectus abdominis (anti-rotation)","Triceps brachii, biceps brachii, posterior deltoid, obliques, erector spinae",Dumbbells (hex),"Starting position, side view, high plank on hex dumbbells, arms extended, feet wide for stability"
RYNG085,"CABLE WOODCHOP (Diagonal)","Internal/external obliques, rectus abdominis, transversus abdominis","Deltoids (anterior), hip rotators, erector spinae, serratus anterior",Cable machine,"Starting position, front view, standing sideways to cable (high pulley), arms extended diagonally up gripping handle"
RYNG086,"TRX PLANK / BODY SAW","Rectus abdominis, transversus abdominis, internal/external obliques","Erector spinae, deltoids (isometric), serratus anterior, hip flexors",TRX straps,"Starting position, side view, forearm plank with feet in TRX loops, body in straight line"
