name,category,muscle_group,equipment,howto
Ausfallschritte,strength,"Quadrizeps, Gesäß, Hamstrings, Core",Bodyweight,"Großer Schritt nach vorne, hinteres Knie bis kurz über den Boden senken. Oberkörper aufrecht, vorderes Knie bleibt über dem Fuß. Tempo: 2 s runter, 1 s hoch. Ausatmen beim Aufstehen."
Ausfallschritte mit KH,strength,"Quadrizeps, Gesäß, Hamstrings, Core",Kurzhantel,"KH seitlich hängen. Großer Schritt nach vorne, hinteres Knie bis kurz über den Boden. Oberkörper aufrecht, kein Vorbeugen. Tempo: 2 s runter, 1 s hoch. Ausatmen beim Aufstehen. Progression zu Bodyweight-Ausfallschritt."
Bulgarian Split Squats,strength,"Quadrizeps, Gesäß, Hamstrings, Core","Bodyweight, Bank","Hinterer Fuß auf Bank. Vorderer Fuß weit genug vorne, dass Knie beim Absenken nicht über Fußspitze geht. Hüfte gerade nach unten senken. Tempo: 2 s runter, 1 s hoch. Ausatmen beim Aufstehen. ⚠ Knie nicht nach innen."
Glute Bridge,strength,"Gesäß, Hamstrings, Core",Bodyweight,"Rückenlage, Füße hüftbreit, Knie 90°. Hüfte bis zur geraden Linie Knie–Hüfte–Schulter heben. 2 s anspannen. Tempo: 1 s hoch, 2 s halten, 2 s runter. Ausatmen beim Heben. Kein Hohlkreuz."
Single Leg Glute Bridge,strength,"Gesäß, Hamstrings, Core",Bodyweight,"Wie Glute Bridge, ein Bein gestreckt in der Luft. Becken horizontal halten – nicht abkippen. Tempo: 2 s hoch, 1 s halten, 2 s runter. 10× je Seite. Ausatmen beim Heben. ⚠ Standbein-Knie bleibt stabil."
Wall Sit,strength,"Quadrizeps, Gesäß, Hamstrings",Bodyweight,"Rücken an Wand, Knie und Hüfte je 90°, Füße schulterbreit. Rücken komplett an der Wand – kein Hohlkreuz. 30–60 s halten. Gleichmäßige Atmung. Progression: einbeinig oder KH auf Oberschenkeln."
Sumo Squats,strength,"Adduktoren, Quadrizeps, Gesäß",Bodyweight,"Breiter Stand (ca. 1,5× Schulterbreite), Fußspitzen ca. 45° nach außen. Knie in Fußrichtung beim Absenken. Rücken aufrecht. Tempo: 2 s runter, 1 s hoch. Ausatmen beim Aufstehen."
Calf Raises,strength,"Waden (Gastrocnemius), Soleus, Tibialis posterior",Bodyweight,"Fußballen auf Kante, Fersen hängen. 2 s hoch, 1 s halten, 3 s runter – Fersen unter Kantenniveau für vollen Stretch. Einbeinig = deutlich schwieriger. Ausatmen beim Heben."
Single Leg Deadlift,strength,"Hamstrings, Gesäß, Core, Waden","Bodyweight, Kurzhantel","Standbein leicht gebeugt. Oberkörper und Spielbein bilden eine Linie und kippen gleichzeitig nach vorne/hinten. Rücken neutral, Becken nicht rotieren. Tempo: 2 s runter, 1 s hoch. 10× je Seite."
Rumänisches Kreuzheben,strength,"Hamstrings, Gesäß, Unterer Rücken, Core",Kurzhantel,"KH vor den Oberschenkeln, schulterbreiter Stand. Hüfte nach hinten schicken, Oberkörper neigt sich – Rücken bleibt neutral (kein runder Rücken!). Bis leichte Dehnung in Hamstrings, dann Hüfte nach vorne. Tempo: 2 s runter, 1 s hoch. Ausatmen beim Aufstehen."
Beinbeuger Maschine,strength,"Hamstrings, Waden (Gastrocnemius)",Maschine,"Volle ROM: ganz strecken, ganz beugen. 1 s Squeeze am oberen Totpunkt, 3 s exzentrisch zurück. Hüften bleiben auf der Sitzfläche. Ausatmen beim Beugen."
Wadenheben stehend,strength,"Waden (Gastrocnemius), Soleus","Maschine, Bodyweight","Fußballen auf Kante. 2 s hoch, 1 s halten, 3 s runter, Fersen unter Niveau für Stretch. Schultern locker. Ausatmen beim Heben."
Step-Up,strength,"Quadrizeps, Gesäß, Hamstrings, Core",Bodyweight,"Fuß vollständig auf Stuhl/Box stellen. Mit Ferse hochdrücken – nicht mit hinterem Bein abstoßen. Oberkörper aufrecht. Tempo: 2 s hoch, 2 s runter. 10× je Seite. Ausatmen beim Hochdrücken. ⚠ Knie nicht nach innen."
Pistol Squat (Assisted),strength,"Quadrizeps, Gesäß, Hamstrings, Core",Bodyweight,"Ein Bein gestreckt nach vorne, mit einer Hand an Wand/TRX abstützen. Auf Standbein tief in die Kniebeuge. Knie in Fußrichtung, Oberkörper leicht vor. Tempo: 3 s runter, 1 s hoch. Ausatmen beim Aufstehen."
Jump Squats,strength,"Beine, Gesäß, Waden, Core",Bodyweight,"Aus der Kniebeuge explosiv abspringen – maximale Streckung. Weiche Landung: Fußballen zuerst, dann Ferse, sofort in nächste Kniebeuge abfedern. Ausatmen beim Abspringen. ⚠ Keine harte Fersenlandung."
Kettlebell Swing,strength,"Hamstrings, Gesäß, Core, Unterer Rücken, Schultern",Kettlebell,"KB zwischen Beinen, hüftbreiter Stand. Rücken neutral, KB nach hinten (Hip Hinge – kein Squat!). Explosiver Hip Snap nach vorne – Arme passiv, Kraft aus Hüfte. KB bis Brusthöhe. Ausatmen am oberen Totpunkt. ⚠ Kein runder Rücken."
KH Thruster,strength,"Quadrizeps, Gesäß, Schultern, Trizeps, Core",Kurzhantel,"KH auf Schulterhöhe. Tiefe Kniebeuge, dann explosiv aufstehen und KH direkt über Kopf drücken – eine fließende Bewegung ohne Stopp. Ausatmen beim Drücken über Kopf."
Push-Up → Renegade Row,strength,"Brust, Rücken, Trizeps, Core",Kurzhantel,"Auf zwei KH: Push-Up ausführen, dann KH abwechselnd zur Hüfte ziehen. Füße breit für Stabilität. Core verhindert seitliches Rotieren. Ausatmen beim Drücken und beim Ziehen."
Clamshells,strength,"Gesäß (Abduktoren), Hüfte, Core",Band,"Seitenlage, Knie 45° gebeugt, Füße übereinander. Oberes Knie wie eine Muschel öffnen – Füße bleiben zusammen. 2 s öffnen, 1 s halten, 2 s zurück. 12–15× je Seite. Becken darf nicht kippen. Mini-Band für mehr Widerstand."
Copenhagen Plank,strength,"Adduktoren, Core, Gesäß",Bodyweight,"Seitstütz, oberes Bein liegt auf Bank (Innenknie auf Kante). Hüfte heben, Körper gerade. 20–30 s halten oder 10× Hüfte heben/senken. Ausatmen beim Halten. Progression: unteres Bein vom Boden heben."
Plank,core,"Core (Rectus abdominis), Schultern, Gesäß, Hüftbeuger",Bodyweight,"Unterarmstütz. Körper bildet gerade Linie: Kopf, Schultern, Hüfte, Fersen auf einer Höhe. Nabel zur Wirbelsäule, Gesäß nicht hochstrecken oder durchhängen. 20–60 s halten. Gleichmäßige Atmung."
Mountain Climbers,core,"Core (Hüftbeuger), Schultern, Quadrizeps",Bodyweight,"Liegestützposition, Hände unter Schultern. Knie abwechselnd explosiv zur Brust ziehen – Hüfte bleibt unten, nicht pumpen. Ausatmen bei jedem Knieheben. 30 s zügig."
Bicycle Crunches,core,"Core (Obliques), Rectus abdominis, Hüftbeuger",Bodyweight,"Rückenlage, Hände locker hinter Kopf, Knie 90°. Gegengleich: rechter Ellbogen zum linken Knie, linkes Bein streckt aus. Rotation aus dem Rumpf – nicht am Kopf ziehen. Tempo: kontrolliert, 2 s pro Seite."
Russian Twists,core,"Core (Obliques), Hüftbeuger, Rectus abdominis","Bodyweight, Kurzhantel","Sitzend, Oberkörper ca. 45° rückwärts geneigt, Beine leicht gebeugt. Hände oder KH beidhändig, Rumpf nach links und rechts rotieren. Rotation aus der Taille – nicht aus den Armen. Tempo: kontrolliert."
Leg Raises,core,"Core (Hüftbeuger), Rectus abdominis",Bodyweight,"Rückenlage, Hände unter Gesäß. Beine gestreckt zur Decke heben, dann kontrolliert absenken – nicht ganz auf den Boden. Unterer Rücken bleibt am Boden. Tempo: 2 s hoch, 2 s runter. Ausatmen beim Heben."
Dead Bug,core,"Core, Hüftbeuger, Schultern",Bodyweight,"Rückenlage, Arme senkrecht zur Decke, Hüfte und Knie je 90°. Gegengleich: Arm + gegenüberliegendes Bein langsam strecken. Unterer Rücken fest am Boden. 10× je Seite. Ausatmen beim Strecken."
Side Plank,core,"Core (Obliques), Schultern, Gesäß (Abduktoren)",Bodyweight,Seitstütz auf Unterarm oder Hand. Hüfte hoch – kein Durchhängen. Freie Hand zur Decke. 20–40 s je Seite. Regression: Knie aufsetzen. Progression: 15× Hüfte heben/senken. Gleichmäßige Atmung.
Hollow Body Hold,core,"Core (Rectus abdominis), Hüftbeuger, Schultern",Bodyweight,"Rückenlage, Arme über Kopf gestreckt. Schultern und Beine gleichzeitig leicht vom Boden heben – nur unterer Rücken bleibt am Boden. 20–40 s halten. ⚠ Kein Hohlkreuz – wenn nötig, Beine höher nehmen."
Pallof Press,core,"Core (Anti-Rotation), Schultern, Hüftbeuger",Maschine,"Kabelzug auf Brusthöhe, seitlich stehen. Griff beidhändig vor der Brust. Arme strecken (2 s halten), zurück. Rumpf widersteht der Rotation – keine Ausweichbewegung. 8–10 Wdh je Seite. Ausatmen beim Strecken."
TRX Body Saw,core,"Core, Schultern, Hüftbeuger",Band,"Füße in TRX-Schlaufen, Unterarmstütz. Körper langsam nach vorne schieben, zurück. Kleine, kontrollierte Bewegung – maximale Rumpfspannung. 8–10 Wdh. Ausatmen beim Vorschieben."
Kabelzug Holzhacker,core,"Core (Obliques), Schultern, Hüftbeuger",Maschine,"Seitlich zum Kabelzug, Griff beidhändig. Diagonale Rotation von oben-außen nach unten-innen. Kraft aus der Rumpfrotation – nicht aus den Armen. Standbeine stabil. 8–10× je Seite. Ausatmen beim Rotieren."
Burpees,cardio,"Ganzkörper, Core, Brust, Beine",Bodyweight,Stand → Hände zum Boden → Beine nach hinten springen (Liegestützposition) → optional Push-Up → Beine zurückspringen → explosiv aufspringen mit Armheben. Weiche Landung. Ausatmen beim Aufspringen. 30–45 s.
Box Jumps,cardio,"Beine, Gesäß, Core, Waden",Box,"Hüftbreiter Stand vor der Box. Armschwung für Impuls, explosiv aufspringen. Weiche Landung in Kniebeuge auf der Box. Kontrolliert heruntersteigen. Ausatmen beim Abspringen. ⚠ Nicht herunterspringen – Verletzungsrisiko Achillessehne."
Skater Jumps,cardio,"Beine, Gesäß, Core, Adduktoren",Bodyweight,"Auf einem Bein abfedern, seitlich zum anderen Bein springen. Auf einem Fuß landen, kurz stabilisieren. Kurze Aufsetzzeit, Arme als Gegengewicht. 30 s rhythmisch. Ausatmen beim Abspringen."
Bear Crawl,cardio,"Ganzkörper, Core, Schultern, Hüftbeuger",Bodyweight,"Vierfüßlerstand, Knie 2 cm über dem Boden. Diagonal vorwärts: rechte Hand + linkes Knie gleichzeitig. Rücken flach, Hüfte tief. 10 m vorwärts, 10 m rückwärts. Gleichmäßige Atmung."
Tuck Jumps,cardio,"Beine, Core, Hüftbeuger",Bodyweight,"Aus dem Stand explosiv abspringen, Knie zur Brust ziehen (Tuck-Position). Weiche Landung auf Fußballen, sofort abfedern. 30 s. Ausatmen beim Abspringen. ⚠ Keine Fersenlandung."
Lateral Shuffles,cardio,"Beine (lateral), Gesäß (Abduktoren), Core",Bodyweight,"Leichte Kniebeuge (Athletic Stance). Seitliche Schritte in Gruppen von 3–4, kurzer Bodenkontakt. Oberkörper aufrecht, Hüfte tief. 30 s. Ausatmen rhythmisch."
Pigeon Pose,stretch,"Hüfte, Piriformis, Gesäß",Bodyweight,"Aus dem Vierfüßlerstand: Vorderes Knie nach vorne, Unterschenkel quer zur Matte. Hinteres Bein gestreckt. Oberkörper aufrichten oder auf Unterarmen abstützen. 30–60 s je Seite. Tief in die Dehnung atmen, bei jedem Ausatmen entspannen."
Hamstring Stretch,stretch,Hamstrings,Bodyweight,"Stehend: ein Bein auf erhöhter Fläche (Hüfthöhe), Knie leicht gebeugt. Oberkörper gerade nach vorne – nicht runden. 30 s je Seite. Alternativ liegend mit Band um Fuß. Tiefe Atmung, kein Schwingen."
Hip 90/90 Stretch,stretch,"Hüfte, Piriformis, Adduktoren, Außenrotatoren",Bodyweight,"Sitzend: vorderes und hinteres Bein je 90° gebeugt. Oberkörper aufrecht. Über das vordere Bein nach vorne neigen für intensivere Dehnung. 30 s je Seite, dann Beine wechseln. Tief atmen."
Shoulder Dislocates,stretch,"Schultern, Brust, Rotatorenmanschette",Band,"Band mit weitem Griff über Kopf rotieren und hinter Rücken führen, Arme gestreckt halten. Bei engem Schultergürtel Griff verbreitern. 10–12 Wdh. ⚠ Schmerz = sofort stoppen."
World's Greatest Stretch,stretch,"Ganzkörper, Hüfte, Brustwirbelsäule, Schultern",Bodyweight,Ausfallschritt. Gleichseitige Hand innen neben Fuß auf Boden. Gegenläufiger Arm zur Decke rotieren. Dann Hüfte strecken (Hip Flexor Dehnung). 5 Atemzüge je Seite. Langsam und kontrolliert.
Sprunggelenk-Mobilisation,stretch,"Waden, Achillessehne, Tibialis anterior",Bodyweight,Fuß 10 cm von der Wand. Knie zur Wand führen – Ferse bleibt am Boden. 10× je Seite. Danach Fußkreisen (je 10×). Wichtig vor Kniebeugen und Ausfallschritten.
Quadrizeps Stretch,stretch,Quadrizeps,Bodyweight,"Stehend: Ferse zur Gesäßbacke ziehen, Knie zusammenhalten. Hand an Wand für Balance. Hüfte leicht nach vorne kippen für intensivere Hüftbeuger-Dehnung. 30 s je Seite."
Brustdehnung (Türrahmen),stretch,"Brust, Vordere Schulter, Bizeps",Bodyweight,Unterarm senkrecht im Türrahmen (Ellbogen auf Schulterhöhe). Oberkörper vorsichtig durch den Rahmen drehen. 30 s je Seite. Beide Armpositionen (90° und über Kopf) für verschiedene Brustabschnitte.
Trizeps Stretch,stretch,"Trizeps, Schultern",Bodyweight,"Arm über den Kopf, Ellbogen gebeugt (Hand zwischen Schulterblättern). Mit anderer Hand Ellbogen sanft nach hinten drücken. 30 s je Seite. Oberkörper aufrecht. Ausatmen beim Vertiefen."
Kindshaltung (Child's Pose),stretch,"Rücken, Hüfte, Schultern",Bodyweight,"Knieend: Hüfte auf Fersen senken, Arme nach vorne gestreckt, Stirn auf Matte. 30–60 s halten. Für Schulteranteil: Hände zur Seite wandern. Tiefe Bauchatmung. Entlastet die Lendenwirbelsäule."
Seitliche Nacken-Dehnung,stretch,Hals (seitliche Nackenmuskulatur),Bodyweight,"Ohr zur Schulter, Hand leicht auf Kopf für sanften Zug. 30 s je Seite. Gegenseitige Schulter aktiv nach unten drücken für intensivere Dehnung. Tiefe Atmung. ⚠ Niemals rucken."
Cross-Body Shoulder Stretch,stretch,"Hintere Schulter, Rhomboiden",Bodyweight,"Arm auf Schulterhöhe gestreckt, mit gegenläufiger Hand Ellbogen zum Körper ziehen. 30 s je Seite. Schulter des gestreckten Arms aktiv nach unten drücken. Tief atmen."
Wall Angels,stretch,"Schultern, Rotatorenmanschette, Brust, Trapez",Bodyweight,"Rücken an Wand, Lendenwirbelsäule so nah wie möglich. Arme in W-Position (Ellbogen auf Schulterhöhe). Arme langsam über Kopf strecken (Y-Position) – Rücken und Arme bleiben an der Wand. 10 Wdh. ⚠ Kein Hohlkreuz."
